Title,AvailableGlobally,ReleaseDate,HoursViewed,NumberofRatings,Rating,Genre,KeyWords,Description
Viking Wolf // Vikingulven,YES,2023-02-03,67500000,6935.0,5.0,"['HORROR', 'THRILLER']","WEREWOLF,SMALL TOWN,KILLING,KEY WITNESS,NORMANDY FRANCE","THALE (17) HAS JUST MOVED WITH HER PARENTS TO A SMALL TOWN AFTER HER MOTHER HAS A NEW JOB IN THE LOCAL POLICE. AFTER A STUDENT IS KILLED BRUTALLY AT A PARTY THALE ATTENDS, SHE BECOMES A KEY WITNESS. WAS THE KILLER AN ANIMAL? A WOLF?"
DAHMER: Monster: The Jeffrey Dahmer Story,YES,2022-09-21,63500000,148405.0,8.0,"['BIOGRAPHY', 'CRIME', 'DRAMA']","HOMOSEXUAL,GAY SERIAL KILLER,MURDER,SERIAL KILLER,HOMOSEXUALITY","THE STORY OF A CANNIBALISTIC SERIAL KILLER NAMED JEFFREY DAHMER, A.K.A. THE MILWAUKEE MONSTER."
Narvik,NO,2023-01-23,63100000,16109.0,7.0,"['DRAMA', 'HISTORY', 'WAR']","NORWEGIAN ARMY,NAZI INVASION OF NORWAY,WINTER,YEAR 1940,MAN IN UNIFORM","APRIL 1940. THE EYES OF THE WORLD ARE ON NARVIK, A SMALL TOWN IN NORTHERN NORWAY, SOURCE OF THE IRON ORE NEEDED FOR HITLER&APOS;S WAR MACHINERY. THROUGH TWO MONTHS OF FIERCE WINTER WARFARE, HITLER IS DEALT HIS FIRST DEFEAT."
The Sea Beast,YES,2022-07-08,62700000,55979.0,7.0,"['ANIMATION', 'ADVENTURE', 'COMEDY']","SEA,SEA MONSTER,MONSTER,BEAST,SHIP","WHEN A YOUNG GIRL STOWS AWAY ON THE SHIP OF A LEGENDARY SEA MONSTER HUNTER, THEY LAUNCH AN EPIC JOURNEY INTO UNCHARTED WATERS - AND MAKE HISTORY TO BOOT."
Harry & Meghan: Limited Series,YES,2022-12-08,62000000,836899.0,8.0,"['ADVENTURE', 'FAMILY', 'FANTASY']","MAGIC,WIZARD,ORPHAN,SCHOOL OF MAGIC,BASED ON NOVEL","AN ORPHANED BOY ENROLLS IN A SCHOOL OF WIZARDRY, WHERE HE LEARNS THE TRUTH ABOUT HIMSELF, HIS FAMILY AND THE TERRIBLE EVIL THAT HAUNTS THE MAGICAL WORLD."
Dog Gone,YES,2023-01-13,61600000,5785.0,6.0,"['BIOGRAPHY', 'DRAMA', 'FAMILY']","DOG,SEARCH,FIND,JOURNEY,FATHER",BASED ON THE TRUE STORY OF A FATHER AND SON WHO REPAIR THEIR FRACTURED RELATIONSHIP DURING A FORCED HIKE OF THE APPALACHIAN TRAIL TO FIND THEIR BELOVED LOST DOG.
Never Have I Ever: Season 1,YES,2020-04-27,61000000,49.0,7.0,['COMEDY'],"PARTY,TEENAGER,SEX COMEDY","CHARLIE BRANDIS LEADS A QUIET AND UNEVENTFUL LIFE AS A WALLFLOWER. HIS PARENTS TRUST HIM, HIS FRIENDS LIKE HIM, GIRLS ARE INDIFFERENT TOWARD HIM. THEN THERE&APOS;S THE GIRL HE&APOS;S WATCHED FROM AFAR, ANNIE BRIGGS, WHO DOESN&APOS;T EVEN KNOW HE..."
Unseen: Season 1,YES,2023-03-29,60100000,56.0,6.0,"['SHORT', 'HORROR']","MICHAEL MYERS,KNIFE,MASK,HALLOWEEN,FAN FILM","A NON-CANON, ATMOSPHERIC LOOK AT THE STYLISTIC WORLD OF HADDONFIELD AND IT&APOS;S MOST EVIL RESIDENT- MICHAEL MYERS. ONE OF THE WORLD&APOS;S MOST FAMOUS AND DEADLIEST SLASHERS TO EVER EXIST, MICHAEL CAN BEST BE CLASSIFIED AS A THRILL KILLER..."
MADOFF: The Monster of Wall Street: Limited Series,YES,2023-01-04,59600000,6860.0,7.0,"['DOCUMENTARY', 'CRIME']","TRUE CRIME,PONZI,AMERICAN CRIMINAL,CHEATING,MONEY",IT FOLLOWS THE RISE AND FALL OF THE AMERICAN FINANCIER AND PONZI SCHEMER: MADOFF.
The Witcher: Season 2,YES,2021-12-17,59300000,193.0,7.0,['DOCUMENTARY'],TV SPECIAL,SHORT DOCUMENTARY ABOUT MAKING THE SECOND SEASON OF THE WITCHER (2019).
Sky Rojo: Season 3,YES,2023-01-13,58500000,10936.0,7.0,"['ACTION', 'ADVENTURE', 'CRIME']","FREEDOM,GUN,PISTOL,CRIMINAL,CLUB","CORAL, WENDY AND GINA GO ON THE RUN IN SEARCH OF FREEDOM WHILE BEING CHASED BY ROMEO, THEIR PIMP FROM LAS NOVIAS CLUB AND HIS HENCHMEN, MOISES AND CHRISTIAN."
Never Have I Ever: Season 3,YES,2022-08-12,58300000,49.0,7.0,['COMEDY'],"PARTY,TEENAGER,SEX COMEDY","CHARLIE BRANDIS LEADS A QUIET AND UNEVENTFUL LIFE AS A WALLFLOWER. HIS PARENTS TRUST HIM, HIS FRIENDS LIKE HIM, GIRLS ARE INDIFFERENT TOWARD HIM. THEN THERE&APOS;S THE GIRL HE&APOS;S WATCHED FROM AFAR, ANNIE BRIGGS, WHO DOESN&APOS;T EVEN KNOW HE..."
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",NO,2017-07-31,54400000,1092.0,8.0,['DRAMA'],PRISON,"AS THE MEDELLIN CARTEL CRUMBLES, PABLO ESCOBAR&APOS;S NO.1 HIT MAN STRUGGLES TO STAY ALIVE AND GAIN RESPECT IN THE PRISON HIERARCHY."
The Ultimatum: Queer Love: Season 1,YES,2023-05-24,53800000,87.0,6.0,"['SHORT', 'COMEDY', 'MUSICAL']","COPY BOY,LOVE ADVICE,AUTOGRAPH,WALTZ,OCEAN LINER","COLUMNIST BEATRICE BLAIR DISPENSES LOVE ADVICE TO HER READERS, BUT CAN&APOS;T SEEM TO FIND HER OWN MR. RIGHT. REPORTER JIMMY JACKSON HAS PURSUED HER BUT WITH NO RESULTS. BLAIR TAKES HER ASSISTANT, HELEN, ON A CRUISE TO THE FRENCH RIVIE..."
Never Have I Ever: Season 2,YES,2021-07-15,53700000,49.0,7.0,['COMEDY'],"PARTY,TEENAGER,SEX COMEDY","CHARLIE BRANDIS LEADS A QUIET AND UNEVENTFUL LIFE AS A WALLFLOWER. HIS PARENTS TRUST HIM, HIS FRIENDS LIKE HIM, GIRLS ARE INDIFFERENT TOWARD HIM. THEN THERE&APOS;S THE GIRL HE&APOS;S WATCHED FROM AFAR, ANNIE BRIGGS, WHO DOESN&APOS;T EVEN KNOW HE..."
¡Que viva México!,YES,2023-05-11,53500000,2254.0,6.0,['COMEDY'],"FEMALE FULL FRONTAL NUDITY,FEMALE NUDITY,FEMALE FRONTAL NUDITY,SEX SCENE,COUNTRY IN TITLE","AFTER HIS GRANDFATHER&APOS;S DEATH, A MAN TRAVELS WITH HIS WIFE AND KIDS TO HIS HOMETOWN, WHERE CHAOS ENSUES WITH HIS RELATIVES OVER THE INHERITANCE."
Emily in Paris: Season 2,YES,2021-12-22,53300000,31916.0,7.0,"['COMEDY', 'DRAMA', 'ROMANCE']","FRENCH,VACATION,EUROPE,CHEST HAIR,MALE NUDITY","MARION AND JACK TRY TO REKINDLE THEIR RELATIONSHIP WITH A VISIT TO PARIS, HOME OF MARION&APOS;S PARENTS -- AND SEVERAL OF HER EX-BOYFRIENDS."
The Last Kingdom: Season 5,NO,2022-03-09,53300000,33179.0,7.0,"['ACTION', 'DRAMA', 'HISTORY']","ANGLO SAXON,KINGDOM,EXPLORATION,WARRIOR,EPIC","IN THE WAKE OF KING EDWARD&APOS;S DEATH, UHTRED OF BEBBANBURG AND HIS COMRADES ADVENTURE ACROSS A FRACTURED KINGDOM IN THE HOPES OF UNITING ENGLAND AT LAST."
